	A549 cells, DMSO, 24h, rep1	A549 cells, DMSO, 24h, rep2	A549 cells, DMSO, 24h, rep3	A549 cells, RSL3, 24h, rep1	A549 cells, RSL3, 24h, rep2	A549 cells, RSL3, 24h, rep3	A549 cells, RSL3 and Fer-1, 24h, rep1	A549 cells, RSL3 and Fer-1, 24h, rep2	A549 cells, RSL3 and Fer-1, 24h, rep3
TCF19	-0.5445290588643783	-0.13545938476051508	-0.44406760963912334	-0.31132441120578663	-0.16516160886606124	-0.9883209272740084	-0.5190653763507829	-0.8042895663229263	-0.2756048203838518
TCF19	-0.4880047629095378	-0.3228312945023136	-0.26208771991652996	-0.008043472444503517	-0.3409667273584867	0.051168867576190886	-0.3421403151797689	-0.1973400904386879	-0.32948436538649944
TCF19	-0.22542709462279115	0.7466523934531388	0.7342201720061643	0.7833715613681586	-0.2879033698962114	-0.47787801810975605	0.2609614544665263	-0.14438462509187364	0.7178565871576718
TCF19	-0.22542709462279115	0.7466523934531388	0.7342201720061643	0.7833715613681586	-0.2879033698962114	-0.47787801810975605	0.2609614544665263	-0.14438462509187364	0.7178565871576718
TCF19	1.085920226218797	-1.0692714094606237	-1.3212804240441396	-1.0796591494324925	1.1033019368901107	1.0900492128682644	0.875488147167333	1.0136712141257975	-1.3491691413589841
TCF19	-0.4880047629095378	-0.3228312945023136	-0.26208771991652996	-0.008043472444503517	-0.3409667273584867	0.051168867576190886	-0.3421403151797689	-0.1973400904386879	-0.32948436538649944
SHMT1	0.5912510526607546	0.8389816137543339	0.6082424211461689	0.6093064025359053	0.670795235328752	0.650990888598828	1.0869810766652663	1.0853354468154568	0.7124387908308201
SHMT1	0.8211270276798143	0.6746583001589199	0.8737608666888486	0.6934407723494197	0.8045977796136405	0.7909072529493388	-1.9158285376992241	-1.9032999944538531	0.6933543421791429
NEU1	-0.06640985614624025	-1.920721856025539	-0.20552221027253642	-0.35004554086106543	-0.16516160886606124	0.10299228320070708	-0.10063582314943031	-0.0019065609854809452	0.047248644593411035
NEU1	0.20750167724068425	0.05771498043374142	-0.081482909747413	-1.0007082811069272	-0.011467902313338278	-0.07751618947063278	-0.05586358334184664	0.26261650385608304	-0.34604723035761153
NEU1	-0.06640985614624025	-1.920721856025539	-0.20552221027253642	-0.35004554086106543	-0.16516160886606124	0.10299228320070708	-0.10063582314943031	-0.0019065609854809452	0.047248644593411035
NEU1	-0.07834801366878488	-1.920721856025539	-0.23298119989572622	-0.35004554086106543	-0.2714295437136276	0.08603612811971707	-0.10063582314943031	-0.0019065609854809452	0.047248644593411035
NEU1	-0.07834801366878488	-1.920721856025539	-0.23298119989572622	-0.35004554086106543	-0.2714295437136276	0.08603612811971707	-0.10063582314943031	-0.0019065609854809452	0.047248644593411035
NEU1	-0.06640985614624025	-1.920721856025539	-0.20552221027253642	-0.35004554086106543	-0.16516160886606124	0.10299228320070708	-0.10063582314943031	-0.0019065609854809452	0.047248644593411035
NEU1	-1.7455730125366788	0.7260601794723082	0.14780030690013446	0.7135689208437046	0.49862085471782347	-1.617933088761575	-1.332763339215509	-1.9032999944538531	-1.701939966308892
VASN	0.532728820438653	0.5079729300271125	-1.7818203805211998	0.5196744445957012	-1.3903277863507726	0.5979488561503542	-1.8186468584626976	0.4113516587745787	0.497063492273669
VASN	-1.3079181526423669	-1.920721856025539	0.4197861170309897	-1.922319508718258	0.5153037180040776	-1.0646392839291188	0.5078653965508688	-1.9032999944538531	-1.9159710899475262
TIMM22	-1.0189746096176289	0.4462482153965222	0.979281622559601	0.9457392626028661	0.5717849570724374	-1.9274003973620784	0.9954660038302151	-1.116959713624271	0.5606848330419686
